PermutationIndex,Permutation,MatterQubits
326144012,"[9,13,4,11,10,2,6,3,1,5,12,7,8]",4
326989329,"[9,13,2,12,11,1,7,4,5,6,10,3,8]",4
328408950,"[9,11,1,12,13,3,4,5,2,6,10,7,8]",4
328701214,"[9,10,4,13,11,1,7,3,5,6,12,2,8]",4
328921849,"[9,12,2,11,10,3,5,4,1,6,13,7,8]",4
329034507,"[9,10,1,12,13,4,7,2,3,6,11,5,8]",4
329360723,"[9,10,2,11,13,4,5,1,3,6,12,7,8]",4
330920498,"[9,10,2,11,12,4,6,1,5,3,13,7,8]",4
332287654,"[9,12,2,11,13,5,7,3,4,1,10,6,8]",4
332500808,"[9,11,3,10,13,4,6,1,2,5,12,7,8]",4
333423352,"[9,11,5,12,13,4,7,1,3,2,10,6,8]",4
333626988,"[9,10,5,11,13,3,4,2,1,6,12,7,8]",4
333837117,"[9,11,2,12,10,3,6,4,5,1,13,7,8]",4
333842475,"[9,12,2,11,13,3,1,5,4,6,10,7,8]",4
334644614,"[9,13,1,12,11,4,6,3,5,2,10,7,8]",4
334700047,"[9,13,3,11,10,1,7,5,2,4,12,6,8]",4
334930134,"[9,12,2,13,10,3,6,1,5,4,11,7,8]",4
335801080,"[9,10,3,11,12,5,4,1,2,6,13,7,8]",4
335914996,"[9,13,5,11,10,3,1,4,2,6,12,7,8]",4
336308831,"[9,11,1,12,13,2,7,5,4,3,10,6,8]",4
338506621,"[9,11,1,13,12,2,3,5,4,6,10,7,8]",4
338819310,"[9,12,4,11,10,5,6,2,3,1,13,7,8]",4
338893531,"[9,12,1,13,11,5,7,2,3,6,10,4,8]",4
339455593,"[9,11,3,13,10,5,7,1,2,6,12,4,8]",4
341679844,"[9,10,2,12,13,3,7,1,5,6,11,4,8]",4
343104637,"[9,11,4,12,10,2,7,1,5,3,13,6,8]",4
