PermutationIndex,Permutation,MatterQubits
565455019,"[6,7,2,8,5,9,4,10,13,12,1,3,11]",4
565463015,"[7,6,2,8,1,9,5,12,13,11,3,4,10]",4
565499262,"[3,7,4,8,6,9,2,11,10,13,5,1,12]",4
565671212,"[7,2,3,8,5,9,4,11,10,12,6,1,13]",4
565679028,"[7,5,3,8,4,9,2,13,11,10,6,1,12]",4
566192608,"[2,7,4,8,6,9,1,12,11,13,3,5,10]",4
566199782,"[6,7,2,8,5,9,1,13,10,11,4,3,12]",4
566546226,"[7,6,5,8,4,9,2,12,11,13,1,3,10]",4
566622276,"[4,7,2,8,3,9,5,13,10,12,6,1,11]",4
566916358,"[1,7,3,8,6,9,4,12,11,13,5,2,10]",4
567505271,"[7,2,1,8,3,9,4,11,13,10,6,5,12]",4
567517446,"[3,7,5,8,4,9,1,11,13,10,6,2,12]",4
567800591,"[6,7,2,8,1,9,4,10,11,12,5,3,13]",4
567832188,"[2,7,4,8,6,9,3,10,13,12,1,5,11]",4
567990248,"[6,7,3,8,4,9,5,13,12,11,1,2,10]",4
568190941,"[3,7,6,8,1,9,5,11,12,10,4,2,13]",4
568365249,"[1,7,3,8,2,9,5,13,10,12,6,4,11]",4
569057364,"[7,4,5,8,1,9,2,10,11,13,6,3,12]",4
569499088,"[4,7,3,8,6,9,2,13,10,11,5,1,12]",4
569625921,"[7,3,2,8,5,9,4,12,13,10,6,1,11]",4
569695899,"[7,3,1,8,4,9,2,12,11,10,6,5,13]",4
569853758,"[2,7,6,8,5,9,4,12,10,11,3,1,13]",4
570157465,"[2,7,6,8,5,9,3,10,13,11,4,1,12]",4
571377093,"[7,2,3,8,1,9,5,11,12,13,6,4,10]",4
571666119,"[1,7,5,8,6,9,2,10,13,12,3,4,11]",4
571788134,"[5,7,4,8,1,9,3,10,11,13,6,2,12]",4
572190180,"[4,7,6,8,2,9,5,10,11,13,3,1,12]",4
572692567,"[2,7,5,8,1,9,3,13,12,11,6,4,10]",4
